Date,Open,High,Low,Close,Volume,Market Cap
"Feb 09, 2017",0.129684,0.132791,0.118249,0.127476,10870.00,6484200.00
"Feb 10, 2017",0.12754,0.13171,0.117976,0.125761,2605.00,6377000.00
"Feb 11, 2017",0.125788,0.127159,0.122483,0.125607,743.00,6289400.00
"Feb 12, 2017",0.125493,0.137479,0.117401,0.121566,3330.00,6274650.00
"Feb 13, 2017",0.12153,0.13772,0.118105,0.118286,6977.00,6076500.00
"Feb 14, 2017",0.118339,0.121985,0.114384,0.116603,6788.00,5916950.00
"Feb 15, 2017",0.116744,0.120698,0.111437,0.112729,5690.00,5837200.00
"Feb 16, 2017",0.112739,0.126088,0.112574,0.126088,10795.00,5636950.00
"Feb 17, 2017",0.125972,0.130485,0.115022,0.122661,28259.00,6298600.00
"Feb 18, 2017",0.122901,0.130873,0.119005,0.124431,13458.00,6145050.00
"Feb 19, 2017",0.124522,0.124827,0.117671,0.122905,4321.00,6226100.00
"Feb 20, 2017",0.123001,0.127204,0.116679,0.121475,10971.00,6150050.00
"Feb 21, 2017",0.1214,0.127322,0.114101,0.121561,14370.00,6070000.00
"Feb 22, 2017",0.124515,0.124515,0.115683,0.121959,6903.00,6225750.00
"Feb 23, 2017",0.121958,0.122226,0.114699,0.118724,6304.00,6097900.00
"Feb 24, 2017",0.119243,0.136124,0.086475,0.121185,17386.00,5962150.00
"Feb 25, 2017",0.120864,0.12166,0.110955,0.114526,9339.00,6043200.00
"Feb 26, 2017",0.114553,0.115582,0.104331,0.114986,8433.00,5727650.00
"Feb 27, 2017",0.115234,0.118632,0.10963,0.115376,8960.00,5761700.00
"Feb 28, 2017",0.115442,0.118271,0.113307,0.117443,19659.00,5772100.00
"Mar 01, 2017",0.117455,0.135197,0.113717,0.135197,12914.00,5872750.00
"Mar 02, 2017",0.135408,0.135475,0.115596,0.119301,8963.00,6770400.00
"Mar 03, 2017",0.119272,0.124929,0.118119,0.122444,9499.00,5963600.00
"Mar 04, 2017",0.122602,0.125583,0.117666,0.119901,6235.00,6130100.00
"Mar 05, 2017",0.119821,0.12368,0.116513,0.121757,4192.00,5991050.00
"Mar 06, 2017",0.121782,0.124417,0.118414,0.12345,10659.00,6089100.00
"Mar 07, 2017",0.123459,0.123531,0.116952,0.122573,8291.00,6172950.00
"Mar 08, 2017",0.122602,0.128715,0.116242,0.116242,5536.00,6130100.00
"Mar 09, 2017",0.116266,0.140766,0.114151,0.132026,21035.00,5813300.00
"Mar 10, 2017",0.132107,0.141972,0.120088,0.131476,34319.00,6605350.00
"Mar 11, 2017",0.131403,0.142793,0.129965,0.142142,32281.00,6570150.00
"Mar 12, 2017",0.142217,0.14357,0.131473,0.140575,36588.00,7110850.00
"Mar 13, 2017",0.140799,0.140823,0.127288,0.136979,23196.00,7039950.00
"Mar 14, 2017",0.136986,0.137204,0.127028,0.133681,23746.00,6849300.00
"Mar 15, 2017",0.133699,0.140774,0.128158,0.128653,16169.00,6684950.00
"Mar 16, 2017",0.128773,0.136685,0.125514,0.131867,20678.00,6438650.00
"Mar 17, 2017",0.131324,0.166127,0.122856,0.139902,63413.00,6566200.00
"Mar 18, 2017",0.140006,0.172281,0.140006,0.158987,188985.00,7000300.00
"Mar 19, 2017",0.159019,0.163016,0.149322,0.15756,68673.00,7950950.00
"Mar 20, 2017",0.157444,0.162542,0.149597,0.153898,68539.00,7872200.00
"Mar 21, 2017",0.153972,0.167727,0.150715,0.164934,234287.00,7698600.00
"Mar 22, 2017",0.164951,0.179551,0.159475,0.173143,157814.00,8247550.00
"Mar 23, 2017",0.173183,0.176421,0.156976,0.166412,38169.00,8659150.00
"Mar 24, 2017",0.166412,0.178022,0.159289,0.166465,52184.00,8320600.00
"Mar 25, 2017",0.166941,0.167388,0.157475,0.167305,47641.00,8347050.00
"Mar 26, 2017",0.167267,0.175043,0.158772,0.160384,37656.00,8363350.00
"Mar 27, 2017",0.161165,0.191642,0.160717,0.186426,201563.00,8058250.00
"Mar 28, 2017",0.186277,0.235749,0.180596,0.220632,821674.00,9313850.00
"Mar 29, 2017",0.22065,0.225506,0.205719,0.212428,335567.00,11032500.00
"Mar 30, 2017",0.212468,0.22193,0.206085,0.210556,504940.00,10623400.00
"Mar 31, 2017",0.210236,0.213953,0.196505,0.203541,291529.00,10511800.00
"Apr 01, 2017",0.203606,0.206153,0.19444,0.205017,109993.00,10180300.00
"Apr 02, 2017",0.203584,0.206776,0.200261,0.20548,102369.00,10179200.00
"Apr 03, 2017",0.205808,0.205959,0.196132,0.199703,104805.00,10290400.00
"Apr 04, 2017",0.199874,0.202591,0.181038,0.185002,148096.00,9993700.00
"Apr 05, 2017",0.185082,0.192548,0.182758,0.184719,102043.00,9254100.00
"Apr 06, 2017",0.184767,0.190455,0.184234,0.18643,82505.00,9238350.00
"Apr 07, 2017",0.187871,0.192661,0.184796,0.188531,81618.00,9393550.00
"Apr 08, 2017",0.189456,0.193674,0.188398,0.190221,54654.00,9472800.00
"Apr 09, 2017",0.189679,0.191026,0.186312,0.188861,97362.00,9483950.00
"Apr 10, 2017",0.188842,0.220733,0.186149,0.207874,208420.00,9442100.00
"Apr 11, 2017",0.209023,0.211772,0.189697,0.197826,257457.00,10451200.00
"Apr 12, 2017",0.198357,0.200199,0.191723,0.195553,192252.00,9917850.00
"Apr 13, 2017",0.193966,0.196013,0.190089,0.191686,147722.00,9698300.00
"Apr 14, 2017",0.19154,0.19396,0.190495,0.192958,103138.00,9577000.00
"Apr 15, 2017",0.192991,0.194574,0.190452,0.192164,76566.00,9649550.00
"Apr 16, 2017",0.193672,0.19565,0.188923,0.192076,167886.00,9683600.00
"Apr 17, 2017",0.191583,0.192535,0.179468,0.191489,331308.00,9579150.00
"Apr 18, 2017",0.19191,0.192224,0.176355,0.180479,348694.00,9595500.00
"Apr 19, 2017",0.180622,0.190709,0.178089,0.189408,297302.00,9031100.00
"Apr 20, 2017",0.189534,0.191015,0.178645,0.184725,222525.00,9476700.00
"Apr 21, 2017",0.184685,0.185694,0.174442,0.178122,263127.00,9234250.00
"Apr 22, 2017",0.178943,0.188524,0.173304,0.183058,288119.00,8947150.00
"Apr 23, 2017",0.180684,0.185985,0.169937,0.17496,175678.00,9034200.00
"Apr 24, 2017",0.177077,0.177153,0.163354,0.173758,262706.00,8853850.00
"Apr 25, 2017",0.173606,0.184094,0.166802,0.183504,241805.00,8680300.00
"Apr 26, 2017",0.183475,0.188085,0.179909,0.184577,185400.00,9173750.00
"Apr 27, 2017",0.184394,0.20851,0.181833,0.202092,327972.00,9219700.00
"Apr 28, 2017",0.202194,0.229271,0.20142,0.229255,473689.00,10109700.00
"Apr 29, 2017",0.229612,0.29057,0.221128,0.271729,960013.00,11480600.00
"Apr 30, 2017",0.271731,0.362409,0.268994,0.360099,1631520.00,13586500.00
"May 01, 2017",0.361689,0.361689,0.269563,0.318838,1142050.00,18084400.00
"May 02, 2017",0.319147,0.326074,0.280153,0.314833,588824.00,15957400.00
"May 03, 2017",0.314746,0.348589,0.309078,0.343782,758237.00,15737300.00
"May 04, 2017",0.345096,0.500403,0.334537,0.500309,2317450.00,17254800.00
"May 05, 2017",0.493833,0.576426,0.470129,0.576426,2660100.00,24691600.00
"May 06, 2017",0.572854,0.59035,0.537649,0.58767,1341720.00,28642700.00
"May 07, 2017",0.585263,0.591143,0.516306,0.535792,1249060.00,29263200.00
"May 08, 2017",0.5303,0.542761,0.486931,0.496572,1025750.00,26515000.00
"May 09, 2017",0.496131,0.501255,0.407576,0.44937,1076450.00,24806600.00
"May 10, 2017",0.44926,0.541055,0.44926,0.503894,843243.00,22463000.00
"May 11, 2017",0.504314,0.520573,0.431391,0.481077,953152.00,25215700.00
"May 12, 2017",0.480874,0.508175,0.469682,0.487684,548028.00,24043700.00
"May 13, 2017",0.487873,0.491284,0.451528,0.484544,616908.00,24393600.00
"May 14, 2017",0.483372,0.490861,0.473253,0.477543,501693.00,24168600.00
"May 15, 2017",0.477364,0.4933,0.45415,0.470057,897219.00,23868200.00
"May 16, 2017",0.474567,0.474567,0.452551,0.463667,637204.00,23728400.00
"May 17, 2017",0.464285,0.531643,0.454101,0.531643,1328670.00,23214200.00
"May 18, 2017",0.533423,0.552265,0.514519,0.539481,1201540.00,26671200.00
"May 19, 2017",0.539752,0.682251,0.539752,0.63186,1884600.00,26987600.00
"May 20, 2017",0.638148,0.671513,0.612225,0.665485,1476170.00,31907400.00
"May 21, 2017",0.665434,0.744667,0.618864,0.664141,2621930.00,33271700.00
"May 22, 2017",0.682007,0.742591,0.669175,0.720486,2331300.00,34100400.00
"May 23, 2017",0.721726,0.901805,0.695115,0.877157,3858760.00,36086300.00
"May 24, 2017",0.878954,1.9,0.863444,1.76,22900400.00,43947700.00
"May 25, 2017",1.74,1.74,1.01,1.11,12458000.00,87149500.00
"May 26, 2017",1.11,1.22,0.69411,0.826549,6847940.00,55293000.00
"May 27, 2017",0.806824,1.03,0.598245,0.982348,7025920.00,40341200.00
"May 28, 2017",0.989557,1.07,0.814832,0.930106,5133830.00,49477900.00
"May 29, 2017",0.921727,0.974728,0.873447,0.966765,2171000.00,46086400.00
"May 30, 2017",0.975403,1.13,0.970573,1.02,5393720.00,48770200.00
"May 31, 2017",1.02,1.08,0.966531,1.03,3001020.00,51167000.00
"Jun 01, 2017",1.03,1.3,1.01,1.24,8061920.00,51383000.00
"Jun 02, 2017",1.25,1.4,1.18,1.35,7157890.00,62290500.00
"Jun 03, 2017",1.36,1.36,1.15,1.26,4049740.00,68122000.00
"Jun 04, 2017",1.25,1.32,1.22,1.26,2572220.00,62425500.00
"Jun 05, 2017",1.27,1.35,1.25,1.28,3876920.00,63267500.00
"Jun 06, 2017",1.28,1.37,1.2,1.34,5234170.00,63757000.00
"Jun 07, 2017",1.34,1.36,1.27,1.28,2994510.00,66929500.00
"Jun 08, 2017",1.27,1.36,1.19,1.36,7118290.00,63677000.00
"Jun 09, 2017",1.36,1.59,1.33,1.55,9728020.00,67874000.00
"Jun 10, 2017",1.54,2.07,1.53,1.68,17295300.00,77129000.00
"Jun 11, 2017",1.69,1.73,1.52,1.67,6479410.00,84426000.00
"Jun 12, 2017",1.67,1.69,1.4,1.51,7492490.00,83716000.00
"Jun 13, 2017",1.5,1.86,1.5,1.81,10456500.00,75221500.00
"Jun 14, 2017",1.81,1.94,1.68,1.74,10497200.00,90657000.00
"Jun 15, 2017",1.74,1.84,1.54,1.78,9550940.00,86947000.00
"Jun 16, 2017",1.8,2.81,1.72,2.77,45782200.00,90202000.00
"Jun 17, 2017",2.8,4.18,2.7,3.76,82601000.00,139894000.00
